id,EPOS_R,EPOS_t,Hololens2_R,Hololens2_t
01|100left,0.6099202689357499 -0.10051912521782999 -0.7860618111871258 0.04548767081316207 0.9947280025164369 -0.0919079583803984 0.7911562028735766 0.02030040578663035 0.6112771516910821,-20.328273597963104 84.2675809835388 293.56316035252956,"45382.1 ,60665.0- ,78350.0","59676.0 ,73142.0- ,55922.0- ,53656.0-"
01|100mid,N/A,N/A,"43212.1 ,15465.0- ,36640.0","68145.0 ,45264.0- ,52554.0- ,40435.0-"
01|100right,N/A,N/A,"96762.1 ,36165.0- ,47580.0","14066.0 ,44082.0 ,27562.0 ,09346.0-"
01|150left,N/A,N/A,"39557.1 ,08175.0- ,81230.0","29402.0- ,67986.0 ,37566.0 ,16791.0"
01|150mid,N/A,N/A,"58027.1 ,27075.0- ,81990.0","63607.0 ,37250.0- ,52050.0- ,01407.0-"
01|150right,N/A,N/A,"66837.1 ,15365.0- ,69000.0-","20317.0 ,09790.0 ,00190.0 ,82886.0-"
02|100left,0.7380206839000251 0.026042108423994736 -0.6742753730669485 0.30223685755424534 -0.90617240968815 0.2958115039272583 -0.6033061843471145 -0.422105878315861 -0.6766448665435371,-13.157488031578296 234.35248035986848 1111.2446950498984,"84522.1 ,04645.0- ,34700.0","23213.0 ,11536.0 ,06036.0 ,84813.0-"
02|100mid,-0.5994698788261169 0.07408863053900192 -0.7969609395729857 -0.0013094493010270408 -0.9957961098092514 -0.09158817080436445 -0.8003962454451725 -0.05386076970872834 0.5970467885883439,3.5681474286340435 250.29987841917733 1257.8718076198372,"27622.1 ,24545.0- ,62940.0","34117.0 ,64400.0 ,68300.0 ,37207.0-"
02|100right,-0.7299010875486274 -0.09258354149292006 -0.6772537856962926 0.2561554974550213 -0.955633191708415 -0.1454288968147605 -0.633741874519036 -0.279630990324421 0.7212334890528047,-37.139853298523455 238.15177277800916 1156.8071993783553,"85292.1 ,03655.0- ,16010.0","55266.0 ,68052.0 ,39952.0 ,51656.0-"
02|150left,0.9843943133568702 -0.1328492031641685 -0.11540764727391972 0.14885723982296692 0.978399211673114 0.14344512800969078 0.09385818015998229 -0.15838583211914614 0.982906185859557,-12.07867439152494 90.30816471453542 763.5415365625516,"19647.1 ,33065.0- ,32331.0","66376.0 ,79432.0- ,83332.0- ,96066.0-"
02|150mid,N/A,N/A,"21317.1 ,53465.0- ,38311.0","36207.0 ,04520.0 ,42230.0 ,73017.0-"
02|150right,0.18481560287871568 0.20427234860983606 -0.9613095237882533 0.8862435829174675 -0.4574010111270283 0.07318897975502692 -0.4247534633998721 -0.8654808620722896 -0.2655699017517231,-175.6148598085073 142.27424671009962 2384.117262991299,"05177.1 ,32355.0- ,66730.0-","59766.0 ,81442.0 ,37742.0 ,29756.0-"
03|100left,0.9881156465598195 0.03300603899207126 -0.15012684774457768 0.053816072993610006 -0.9891436667946236 0.1367429586034798 -0.1439836772388321 -0.14319709434950284 -0.9791645892589476,-26.381079001198657 185.41641481467403 885.8319482359962,"57882.1 ,65706.0- ,22800.0-","72404.0- ,55585.0 ,25975.0 ,23793.0"
03|100mid,0.39847218742271406 -0.22700756942815337 -0.8886436176965882 0.47446520134982917 -0.7781528629486995 0.41153480362274164 -0.7849220907571808 -0.5856156463987832 -0.20236508131175135,-44.309713814811374 243.5625890929125 1738.4938550207244,"43371.1 ,76016.0- ,37180.0","51270.0 ,97507.0 ,14107.0 ,14860.0-"
03|100right,-0.7021019713694105 -0.185274299183433 -0.6875509114685803 0.3335524486136222 -0.938645775702896 -0.08767480697991774 -0.6291228702114116 -0.2908909448869054 0.72082374569638,-62.871337399914275 320.8478785453383 1870.5669972764633,"08092.1 ,92006.0- ,09720.0","75407.0 ,99511.0 ,59311.0 ,67096.0-"
03|150left,N/A,N/A,"14947.1 ,55516.0- ,02411.0","39584.0 ,81905.0- ,55615.0- ,36784.0-"
03|150mid,0.9825467777158844 -0.17144161926558077 0.07217756426846374 0.185920217993487 0.8926721809304722 -0.41057283146122636 0.005958367342388193 0.4168262810529465 0.9089666381568595,-27.771382524906546 -6.6323342259851685 542.7643134105037,"24017.1 ,46395.0- ,71900.0","58307.0 ,39721.0- ,54321.0- ,47786.0-"
03|150right,0.6326305304258093 0.01846423900033211 -0.7742336106442924 0.010104223710416065 -0.9998274433849312 -0.015588076134082524 -0.7743878334764622 0.002038463266949427 -0.6327079326443918,-185.17195357794088 121.2356984648251 2013.0163694473638,"38517.1 ,70506.0- ,49330.0-","58270.0- ,22117.0 ,69596.0 ,89660.0"
04|100left,-0.8947476202449773 0.425282478132642 0.1362406321891842 -0.03849715129636791 0.23048984275272533 -0.9723129134851026 -0.44490972725713046 -0.8752195417043561 -0.18985807438927316,-88.71945151942583 228.50489440665382 1191.99376728539,N/A,N/A
04|100mid,0.3896592195602826 -0.8900295704747445 -0.23667077616852766 0.32833237929912656 0.3743493476688923 -0.8672141688208568 0.8604438048562184 0.2602113171643705 0.43809420117611386,-63.254393678943615 198.0878609850133 1184.2287592750386,N/A,N/A
04|100right,0.6025058141087878 0.667186551713539 0.43800553555600663 -2.5265423177933677e-05 0.5488163221234916 -0.835942966913714 -0.7981144926179236 0.5036494314336524 0.3306818817077726,-130.36997726153336 243.13807739468348 1690.1918406115676,N/A,N/A
04|150left,N/A,N/A,N/A,N/A
04|150mid,N/A,N/A,N/A,N/A
04|150right,N/A,N/A,N/A,N/A
05|100left,0.8142809021432215 -0.2740402385454131 -0.5117114031002185 -0.13348575566699056 -0.9463216239133189 0.29437550364809834 -0.5649142991984127 -0.17139816735319 -0.8071520939631724,-54.89241793138347 71.74126844208513 1020.2149230616552,"51782.1 ,12206.0- ,28140.0","30226.0 ,00533.0- ,97233.0- ,95426.0-"
05|100mid,-0.17098114574759582 -0.019410504507869714 -0.9850830828481371 0.016714042380124562 -0.9997191972566843 0.01679783985416199 -0.9851325233622911 -0.013592606490318269 0.17125756176777895,-34.940805105369684 120.8625518000288 1001.8754700842633,"62122.1 ,72985.0- ,63801.0","17000.0 ,00407.0- ,91017.0- ,06300.0-"
05|100right,N/A,N/A,"82141.1 ,52975.0- ,46016.0-","60511.0 ,41796.0- ,61996.0- ,02901.0-"
05|150left,N/A,N/A,"94247.1 ,10695.0- ,46480.0","10806.0 ,60653.0- ,45063.0- ,91116.0-"
05|150mid,N/A,N/A,"07557.1 ,54016.0- ,56600.0-","86707.0 ,20030.0- ,60130.0- ,12507.0-"
05|150right,N/A,N/A,"98085.1 ,47095.0- ,90067.0-","96507.0 ,10900.0 ,96900.0 ,93807.0-"
06|100left,N/A,N/A,N/A,N/A
06|100mid,N/A,N/A,N/A,N/A
06|100right,N/A,N/A,N/A,N/A
06|150left,N/A,N/A,N/A,N/A
06|150mid,N/A,N/A,N/A,N/A
06|150right,N/A,N/A,N/A,N/A
07|100left,0.22232318648410335 -0.49291383356195695 0.8411945990285541 0.49967832201000073 0.7984673207395413 0.33581469923797014 -0.8371941084747458 0.34566731172367704 0.42381615629999486,-78.71684810124674 244.42832934345788 954.9092714595249,N/A,N/A
07|100mid,0.5932704818852595 -0.7773300488336935 -0.20925613611992175 -0.7748671504891728 -0.4809707615260229 -0.4101804793622768 0.21819952890971464 0.40549367656880303 -0.8876732753926376,-56.27676738520964 261.9510255936228 1112.7331031379615,N/A,N/A
07|100right,-0.573558600260862 0.3933600117459298 -0.7185390965187926 -0.5789472181931652 0.4259017328652992 0.6952897471477133 0.5795262294436692 0.8147856252423564 -0.01654491720215956,-74.24611928721288 260.43768704440555 1714.502429880079,N/A,N/A
07|150left,-0.09044656156483111 -0.676181809757619 -0.731161801282049 -0.7070949485803263 -0.47339925248628656 0.5252712455842323 -0.7013103116262337 0.564509794333399 -0.43530740736676965,60.278068457597364 61.71708571120721 508.20311049040566,N/A,N/A
07|150mid,0.27951454740545795 0.09499709778690557 0.9554303581113524 -0.5924815019662384 0.8001069666483138 0.09377905815620141 -0.7555377473141578 -0.5922874245945959 0.2799255598378767,-50.90717766816613 80.02914691158296 581.4127050141132,N/A,N/A
07|150right,0.37057925256509494 -0.6077226449920787 -0.7023846555357879 0.027597049006167884 0.7630980202325973 -0.6456932819870761 0.9283907692639165 0.21989679006507215 0.299559645587704,-47.564284180392086 74.0179087237185 301.4306214570572,N/A,N/A
08|100left,0.7665242837303232 0.014905035695607666 0.6420423368926911 0.37083908904441987 0.8059424471935654 -0.4614489590933669 -0.5243270854041586 0.5918062281883824 0.6122470872033778,44.6445 50.1645 14.196,N/A,N/A
08|100mid,0.7665242837303232 0.014905035695607666 0.6420423368926911 0.37083908904441987 0.8059424471935654 -0.4614489590933669 -0.5243270854041586 0.5918062281883824 0.6122470872033778,44.6445 50.1645 14.196,N/A,N/A
08|100right,N/A,N/A,N/A,N/A
08|150left,N/A,N/A,N/A,N/A
08|150mid,N/A,N/A,N/A,N/A
